task_index_sample,task_name,D_sample,D_full,D_changed,episodes,n_episodes,phi0_mean_sample,phi0_mean_full,phi0_delta,episodes_phi0_gt0,phi0_frac_gt0,valid_rate_sample,valid_rate_full,valid_delta,integrality_ok,reward_instrumentation,drop_reasons,note
66,turning_out_all_lights_before_sleep,2.0,2.0,False,48,200,0.0,0.090452,0.090452,36.0,0.1809,0.8333,0.995,0.16169999999999995,True,ok,"{""phi0_out_of_range"": 1}",
67,boxing_food_after_dinner,5.0,5.0,False,70,200,0.238095,0.302645,0.06455,158.0,0.836,0.6,0.945,0.345,True,ok,"{""phi0_out_of_range"": 3, ""progress_out_of_range"": 8}",
68,cleaning_up_branches_and_twigs,2.0,2.0,False,57,200,0.353659,0.390625,0.036966,150.0,0.7812,0.7193,0.96,0.24069999999999991,True,ok,"{""phi0_out_of_range"": 6, ""progress_out_of_range"": 2}",
69,vacuuming_floors,1.0,1.0,False,105,200,0.0,0.0,0.0,0.0,0.0,1.0,0.995,-0.0050000000000000044,True,ok,"{""no_headroom"": 1}",
70,thawing_frozen_food,7.0,7.0,False,57,200,0.203647,0.255523,0.051876000000000005,176.0,0.9072,0.8246,0.97,0.14539999999999997,True,ok,"{""progress_out_of_range"": 6}",
71,clean_your_rusty_garden_tools,5.0,5.0,False,49,200,0.074419,0.111558,0.037139000000000005,88.0,0.4422,0.8776,0.995,0.11739999999999995,True,ok,"{""phi0_out_of_range"": 1}",
72,cook_a_frozen_pie,2.0,2.0,False,55,200,0.0,0.005618,0.005618,2.0,0.0112,0.8545,0.89,0.035499999999999976,True,ok,"{""phi0_out_of_range"": 22}",
73,organizing_school_stuff,6.0,6.0,False,47,200,0.240741,0.315029,0.07428799999999999,151.0,0.8728,0.5745,0.865,0.2905,True,ok,"{""phi0_out_of_range"": 3, ""progress_out_of_range"": 24}",
74,carrying_out_garden_furniture,2.0,2.0,False,45,200,0.016129,0.145729,0.1296,58.0,0.2915,0.6889,0.995,0.30610000000000004,True,ok,"{""progress_out_of_range"": 1}",
75,put_together_a_basic_pruning_kit,4.0,4.0,False,42,200,0.257143,0.30402,0.046877,184.0,0.9246,0.8333,0.995,0.16169999999999995,True,ok,"{""progress_out_of_range"": 1}",
76,dispose_of_glass,1.0,1.0,False,49,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
77,installing_a_modem,3.0,3.0,False,103,200,0.133333,0.194444,0.061111,96.0,0.5,0.8252,0.96,0.13479999999999992,True,ok,"{""phi0_out_of_range"": 6, ""progress_out_of_range"": 2}",
78,make_cabinet_doors,1.0,1.0,False,68,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
79,polishing_shoes,5.0,5.0,False,44,200,0.113514,0.144565,0.031050999999999995,100.0,0.5435,0.8409,0.92,0.07910000000000006,True,ok,"{""phi0_out_of_range"": 7, ""progress_out_of_range"": 9}",
80,clean_up_broken_glass,1.0,1.0,False,53,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
81,packing_meal_for_delivery,2.0,2.0,False,53,200,0.0,0.165803,0.165803,64.0,0.3316,0.6792,0.965,0.28579999999999994,True,ok,"{""phi0_out_of_range"": 3, ""progress_out_of_range"": 4}",
82,store_batteries,1.0,1.0,False,61,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
83,store_honey,1.0,1.0,False,72,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
84,tidying_bathroom,4.0,4.0,False,53,200,0.290698,0.294416,0.003717999999999999,152.0,0.7716,0.8113,0.985,0.17369999999999997,True,ok,"{""phi0_out_of_range"": 2, ""progress_out_of_range"": 1}",
85,putting_dirty_dishes_in_sink,2.0,2.0,False,40,200,0.0,0.253886,0.253886,98.0,0.5078,0.4,0.965,0.565,True,ok,"{""no_headroom"": 1, ""progress_out_of_range"": 6}",
86,make_gift_bags_for_baby_showers,3.0,3.0,False,51,200,0.144928,0.340659,0.195731,125.0,0.6868,0.451,0.91,0.459,True,ok,"{""phi0_out_of_range"": 3, ""progress_out_of_range"": 15}",
87,collecting_aluminum_cans,1.0,1.0,False,47,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
88,rearrange_your_room,2.0,2.0,False,53,200,0.013158,0.1125,0.099342,45.0,0.225,0.717,1.0,0.28300000000000003,True,ok,{},
89,installing_a_fax_machine,2.0,2.0,False,62,200,0.0,0.1075,0.1075,43.0,0.215,0.7097,1.0,0.2903,True,ok,{},
90,composting_waste,2.0,2.0,False,65,200,0.0,0.1625,0.1625,65.0,0.325,0.6923,1.0,0.3077,True,ok,{},
91,store_produce,1.0,1.0,False,48,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
92,installing_a_scanner,2.0,2.0,False,57,200,0.0,0.166667,0.166667,66.0,0.3333,0.6316,0.99,0.35839999999999994,True,ok,"{""phi0_out_of_range"": 2}",
93,clean_a_keyboard,1.0,1.0,False,62,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
94,dispose_of_batteries,2.0,2.0,False,50,200,0.0,0.251269,0.251269,99.0,0.5025,0.26,0.985,0.725,True,ok,"{""phi0_out_of_range"": 3}",
95,cook_brussels_sprouts,3.0,3.0,False,44,200,0.243902,0.264605,0.02070299999999997,151.0,0.7784,0.9318,0.97,0.03820000000000001,True,ok,"{""phi0_out_of_range"": 6}",
96,cook_broccolini,3.0,3.0,False,52,200,0.012821,0.003367,-0.009454,2.0,0.0101,1.0,0.99,-0.010000000000000009,True,ok,"{""phi0_out_of_range"": 2}",
97,setup_a_bar_for_a_cocktail_party,9.0,9.0,False,51,200,0.265233,0.277167,0.011934,165.0,0.9066,0.6078,0.91,0.3022,True,ok,"{""phi0_out_of_range"": 6, ""progress_out_of_range"": 12}",
98,laying_tile_floors,2.0,2.0,False,49,200,0.0,0.055215,0.055215,18.0,0.1104,0.6531,0.815,0.16189999999999993,True,ok,"{""phi0_out_of_range"": 31, ""progress_out_of_range"": 6}",
99,sorting_books_on_shelf,6.0,6.0,False,62,200,0.37037,0.414384,0.044014,141.0,0.9658,0.4355,0.73,0.2945,True,ok,"{""phi0_out_of_range"": 2, ""progress_out_of_range"": 52}",
