task_index,task_name,D,n_magnitudes,magnitudes_multiple_of_unit,n_episodes,n_valid,valid_rate,phi0_mean,phi0_max,episodes_phi0_gt0,phi0_frac_gt0,phi0_init_mean,initially_true_literals,initially_true_unknown,census_alignment,never_credited_mean,never_credited_frac_gt0,lost_at_end_mean,max_dip_units,episodes_ended_short,demo_completion_rate,frac_intermediate,max_step_frac,n_credit_events,n_levels,t_first_credit,mean_progress,episodes_nonmonotonic,rollback_rewards_zeroed,drop_reasons,note
66,turning_out_all_lights_before_sleep,2.0,1.0,True,200,199.0,0.995,0.090452,0.5,36.0,0.1809,0.0,0.0,0.0,ambiguous,0.180905,0.1809,0.0,1.0,36.0,0.8191,0.1825,0.5,2.0,2.819,0.7646,0.1215,36.0,87.0,"{""over_credited"": 1}",
67,boxing_food_after_dinner,5.0,1.0,True,200,197.0,0.985,0.302645,0.8,158.0,0.836,0.0,0.0,6.0,ambiguous,1.532995,0.8376,0.045685,1.0,166.0,0.1574,0.439,0.2,6.751,4.467,0.4948,0.1889,197.0,67.0,"{""over_credited"": 3}",
68,cleaning_up_branches_and_twigs,2.0,2.0,True,200,194.0,0.97,0.390625,0.5,150.0,0.7812,0.0,0.0,5.0,ambiguous,0.773196,0.7732,0.010309,1.0,152.0,0.2165,0.0937,0.5,1.66,2.227,0.6813,0.1493,71.0,267.0,"{""over_credited"": 6}",
69,vacuuming_floors,1.0,1.0,True,200,199.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9178,0.0826,0.0,64.0,"{""no_headroom"": 1}",
70,thawing_frozen_food,7.0,2.0,True,200,200.0,1.0,0.255523,0.714286,176.0,0.9072,0.0,0.0,6.0,ambiguous,1.84,0.91,0.03,2.0,182.0,0.09,0.7997,0.1471,10.085,6.145,0.1399,0.3214,200.0,198.0,{},
71,clean_your_rusty_garden_tools,5.0,2.0,True,200,199.0,0.995,0.111558,0.6,88.0,0.4422,0.18392,1.0,2.0,aligned,0.487437,0.3819,0.0,2.0,76.0,0.6181,0.7174,0.2,5.462,5.442,0.5017,0.3016,199.0,39.0,"{""over_credited"": 1}",
72,cook_a_frozen_pie,2.0,1.0,True,200,178.0,0.89,0.005618,0.5,2.0,0.0112,0.0,0.0,1.0,aligned,0.011236,0.0112,0.0,1.0,2.0,0.9888,0.4604,0.5,15.511,2.989,0.5181,0.2458,177.0,86.0,"{""over_credited"": 22}",
73,organizing_school_stuff,6.0,3.0,True,200,197.0,0.985,0.315029,0.833333,151.0,0.8728,0.0,0.0,6.0,aligned,2.050761,0.8883,0.126904,1.0,175.0,0.1117,0.73,0.1684,6.345,4.949,0.1176,0.3116,182.0,241.0,"{""over_credited"": 3}",
74,carrying_out_garden_furniture,2.0,1.0,True,200,200.0,1.0,0.145729,0.5,58.0,0.2915,0.0,0.0,2.0,aligned,0.29,0.29,0.005,1.0,59.0,0.705,0.4036,0.5,2.59,2.71,0.4148,0.2965,92.0,154.0,{},
75,put_together_a_basic_pruning_kit,4.0,2.0,True,200,200.0,1.0,0.30402,0.75,184.0,0.9246,0.45625,2.0,2.0,aligned,0.495,0.425,0.025,2.0,86.0,0.57,0.6256,0.25,4.81,3.775,0.6969,0.4128,200.0,13.0,{},
76,dispose_of_glass,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ambiguous,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.02,2.0,0.9764,0.0237,4.0,96.0,{},
77,installing_a_modem,3.0,2.0,True,200,194.0,0.97,0.194444,0.666667,96.0,0.5,0.0,0.0,3.0,ambiguous,0.587629,0.5052,0.010309,2.0,98.0,0.4948,0.1612,0.3333,3.51,3.412,0.713,0.1538,130.0,36.0,"{""over_credited"": 6}",
78,make_cabinet_doors,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9309,0.0694,0.0,27.0,{},
79,polishing_shoes,5.0,2.0,True,200,193.0,0.965,0.144565,0.6,100.0,0.5435,0.0,0.0,4.0,ambiguous,0.766839,0.5648,0.051813,2.0,109.0,0.4352,0.572,0.2041,8.192,5.233,0.2549,0.2184,187.0,215.0,"{""over_credited"": 7}",
80,clean_up_broken_glass,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,ambiguous,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.04,2.0,0.9697,0.0304,8.0,36.0,{},
81,packing_meal_for_delivery,2.0,1.0,True,200,196.0,0.98,0.165803,0.5,64.0,0.3316,0.0,0.0,6.0,ambiguous,0.326531,0.3265,0.015306,1.0,67.0,0.6582,0.0689,0.5,3.786,2.673,0.872,0.0678,115.0,78.0,"{""over_credited"": 4}",
82,store_batteries,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,ambiguous,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.045,2.0,0.9525,0.0476,8.0,48.0,{},
83,store_honey,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,aligned,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.04,2.0,0.9402,0.0599,8.0,57.0,{},
84,tidying_bathroom,4.0,2.0,True,200,198.0,0.99,0.294416,0.75,152.0,0.7716,0.0,0.0,4.0,aligned,1.181818,0.7727,0.005051,1.0,153.0,0.2273,0.6167,0.25,4.783,3.818,0.3063,0.2621,173.0,108.0,"{""over_credited"": 2}",
85,putting_dirty_dishes_in_sink,2.0,1.0,True,200,200.0,1.0,0.253886,0.5,98.0,0.5078,0.0,0.0,4.0,ambiguous,0.495,0.495,0.035,1.0,105.0,0.475,0.3039,0.5,2.5,2.505,0.3592,0.327,141.0,59.0,{},
